time;open;high;low;close;volume
2020-01-02;127.1500015258789;128.69000244140625;125.80999755859375;128.69000244140625;142500
2020-01-03;127.18000030517578;129.13999938964844;126.68000030517578;128.75;102200
2020-01-06;127.16000366210938;128.61000061035156;126.91999816894531;128.32000732421875;183100
2020-01-07;127.76000213623047;128.6699981689453;127.37000274658203;127.87999725341797;61700
2020-01-08;128.27000427246094;130.10000610351562;127.94999694824219;129.5;193200
2020-01-09;129.89999389648438;131.3699951171875;129.89999389648438;130.8699951171875;168300
2020-01-10;131.0;131.8000030517578;130.2100067138672;131.1199951171875;119000
2020-01-13;131.22999572753906;133.60000610351562;131.22999572753906;133.5500030517578;192900
2020-01-14;133.42999267578125;135.27999877929688;132.30999755859375;134.6699981689453;247700
2020-01-15;133.83999633789062;135.25999450683594;132.9199981689453;134.08999633789062;193400
2020-01-16;135.25;137.88999938964844;134.50999450683594;137.85000610351562;162100
2020-01-17;138.5;138.66000366210938;136.27999877929688;137.0;186700
2020-01-21;136.6199951171875;137.13999938964844;135.35000610351562;136.6999969482422;176400
2020-01-22;137.3800048828125;137.9499969482422;135.72999572753906;136.24000549316406;150100
2020-01-23;135.9499969482422;136.69000244140625;134.16000366210938;136.42999267578125;142500
2020-01-24;136.74000549316406;137.72999572753906;134.94000244140625;136.5399932861328;176000
2020-01-27;134.39999389648438;137.7100067138672;134.0;136.9499969482422;196500
2020-01-28;137.6999969482422;138.97000122070312;137.08999633789062;138.63999938964844;130600
2020-01-29;138.82000732421875;139.88999938964844;138.2899932861328;138.3300018310547;121300
2020-01-30;137.30999755859375;138.3800048828125;136.33999633789062;138.30999755859375;124700
2020-01-31;137.33999633789062;137.4499969482422;135.10000610351562;135.60000610351562;627700
2020-02-03;136.4499969482422;139.5800018310547;135.77000427246094;137.8300018310547;196000
2020-02-04;139.0;140.35000610351562;137.22000122070312;137.36000061035156;205500
2020-02-05;138.75;138.75;137.55999755859375;138.1300048828125;177400
2020-02-06;138.64999389648438;141.02999877929688;137.85000610351562;140.7100067138672;192200
2020-02-07;140.36000061035156;140.6300048828125;139.22000122070312;139.94000244140625;133800
2020-02-10;139.5;140.42999267578125;139.0800018310547;140.1999969482422;105900
2020-02-11;140.41000366210938;141.42999267578125;140.3800048828125;140.8300018310547;143400
